;domain;date;name;serving_time;level;nutrition;allergens;tags;ingredient
5;de;5/18;Rahmchampignons mit Käse an Ofenkartoffeln und Karottensalat;40 bis 50 Minuten;einfach;Kalorien 796kcal, Fett 49.6g, Eiweiß 26.0g, Kohlenhydrate 53.3g;Milch, Eier und Senf. Kann Spuren von anderen Allergenen enthalten.;['VEGETARISCH', 'GLUTENARM', 'FAMILIENFREUNDLICH'];Champignons
6;de;5/18;Rahmchampignons mit Käse an Ofenkartoffeln und Karottensalat;40 bis 50 Minuten;einfach;Kalorien 796kcal, Fett 49.6g, Eiweiß 26.0g, Kohlenhydrate 53.3g;Milch, Eier und Senf. Kann Spuren von anderen Allergenen enthalten.;['VEGETARISCH', 'GLUTENARM', 'FAMILIENFREUNDLICH'];Lila Karotte
7;de;5/18;Rahmchampignons mit Käse an Ofenkartoffeln und Karottensalat;40 bis 50 Minuten;einfach;Kalorien 796kcal, Fett 49.6g, Eiweiß 26.0g, Kohlenhydrate 53.3g;Milch, Eier und Senf. Kann Spuren von anderen Allergenen enthalten.;['VEGETARISCH', 'GLUTENARM', 'FAMILIENFREUNDLICH'];Karotte
8;de;5/18;Rahmchampignons mit Käse an Ofenkartoffeln und Karottensalat;40 bis 50 Minuten;einfach;Kalorien 796kcal, Fett 49.6g, Eiweiß 26.0g, Kohlenhydrate 53.3g;Milch, Eier und Senf. Kann Spuren von anderen Allergenen enthalten.;['VEGETARISCH', 'GLUTENARM', 'FAMILIENFREUNDLICH'];Unbehandelte Zitrone
9;de;5/18;Rahmchampignons mit Käse an Ofenkartoffeln und Karottensalat;40 bis 50 Minuten;einfach;Kalorien 796kcal, Fett 49.6g, Eiweiß 26.0g, Kohlenhydrate 53.3g;Milch, Eier und Senf. Kann Spuren von anderen Allergenen enthalten.;['VEGETARISCH', 'GLUTENARM', 'FAMILIENFREUNDLICH'];Mehligkochende Kartoffeln
0;de;5/18;Hähnchenbrust mit cremiger Knoblauchsauce und warmem Kartoffel-Bohnen-Salat;20 bis 30 Minuten;einfach;Kalorien 765kcal, Fett 37.5g, Eiweiß 48.7g, Kohlenhydrate 52.1g;Senf und Milch. Kann Spuren von anderen Allergenen enthalten.;['GLUTENARM', 'UNTER 30MIN.', 'GEFLÜGEL'];Mittelscharfer Senf
1;de;5/18;Hähnchenbrust mit cremiger Knoblauchsauce und warmem Kartoffel-Bohnen-Salat;20 bis 30 Minuten;einfach;Kalorien 765kcal, Fett 37.5g, Eiweiß 48.7g, Kohlenhydrate 52.1g;Senf und Milch. Kann Spuren von anderen Allergenen enthalten.;['GLUTENARM', 'UNTER 30MIN.', 'GEFLÜGEL'];Grüne Bohnen
2;de;5/18;Hähnchenbrust mit cremiger Knoblauchsauce und warmem Kartoffel-Bohnen-Salat;20 bis 30 Minuten;einfach;Kalorien 765kcal, Fett 37.5g, Eiweiß 48.7g, Kohlenhydrate 52.1g;Senf und Milch. Kann Spuren von anderen Allergenen enthalten.;['GLUTENARM', 'UNTER 30MIN.', 'GEFLÜGEL'];Edelsüßes Paprikapulver
3;de;5/18;Hähnchenbrust mit cremiger Knoblauchsauce und warmem Kartoffel-Bohnen-Salat;20 bis 30 Minuten;einfach;Kalorien 765kcal, Fett 37.5g, Eiweiß 48.7g, Kohlenhydrate 52.1g;Senf und Milch. Kann Spuren von anderen Allergenen enthalten.;['GLUTENARM', 'UNTER 30MIN.', 'GEFLÜGEL'];Hühnerbrühgewürz
4;de;5/18;Hähnchenbrust mit cremiger Knoblauchsauce und warmem Kartoffel-Bohnen-Salat;20 bis 30 Minuten;einfach;Kalorien 765kcal, Fett 37.5g, Eiweiß 48.7g, Kohlenhydrate 52.1g;Senf und Milch. Kann Spuren von anderen Allergenen enthalten.;['GLUTENARM', 'UNTER 30MIN.', 'GEFLÜGEL'];Saure Sahne
